Subtotal,city,city_ascii,state_id,lat,lng
,Thorne Bay,Thorne Bay,AK,55.6652,-132.5337
,Togiak,Togiak,AK,59.0693,-160.4727
,Tok,Tok,AK,63.329,-143.0379
,Toksook Bay,Toksook Bay,AK,60.5333,-165.1557
,Tonsina,Tonsina,AK,61.5617,-145.0656
,Trapper Creek,Trapper Creek,AK,62.3189,-150.3965
,Tuluksak,Tuluksak,AK,61.105,-160.9493
,Tuntutuliak,Tuntutuliak,AK,60.3843,-162.6838
,Tununak,Tununak,AK,60.579,-165.2077
,Twin Hills,Twin Hills,AK,59.0815,-160.2826
,Two Rivers,Two Rivers,AK,64.8908,-147.0898
,Tyonek,Tyonek,AK,61.0734,-151.3331
,Ugashik,Ugashik,AK,57.5736,-157.1232
,Unalakleet,Unalakleet,AK,63.8922,-160.786
,Unalaska,Unalaska,AK,53.8984,-166.568
,Upper Kalskag,Upper Kalskag,AK,61.5416,-160.3337
,Utqiagvik,Utqiagvik,AK,71.2728,-156.7575
,Valdez,Valdez,AK,61.0963,-146.2596
,Venetie,Venetie,AK,67.0206,-146.3741
,Wainwright,Wainwright,AK,70.638,-159.9713
,Wales,Wales,AK,65.6119,-168.0773
,Wasilla,Wasilla,AK,61.577,-149.466
,Whale Pass,Whale Pass,AK,56.1053,-133.1244
,White Mountain,White Mountain,AK,64.6812,-163.4228
,Whitestone,Whitestone,AK,64.1528,-145.9061
,Whittier,Whittier,AK,60.7852,-148.6455
,Willow,Willow,AK,61.8157,-149.753
,Wiseman,Wiseman,AK,67.4371,-150.1334
,Womens Bay,Womens Bay,AK,57.696,-152.6276
,Wrangell,Wrangell,AK,56.3317,-132.0223
,Yakutat,Yakutat,AK,59.567,-139.5966
,Abanda,Abanda,AL,33.0926,-85.5253
,Abbeville,Abbeville,AL,31.5664,-85.2528
,Adamsville,Adamsville,AL,33.6063,-86.9745
,Addison,Addison,AL,34.2017,-87.1765
,Akron,Akron,AL,32.8785,-87.7429
,Alabaster,Alabaster,AL,33.2198,-86.8225
,Albertville,Albertville,AL,34.2634,-86.2107
,Alexander City,Alexander City,AL,32.9242,-85.9361
,Alexandria,Alexandria,AL,33.7675,-85.8792
,Aliceville,Aliceville,AL,33.1237,-88.1594
,Allgood,Allgood,AL,33.9064,-86.5178
,Altoona,Altoona,AL,34.031,-86.3181
,Andalusia,Andalusia,AL,31.3101,-86.4781
,Anderson,Anderson,AL,34.9147,-87.2716
,Anniston,Anniston,AL,33.6712,-85.8136
,Arab,Arab,AL,34.3309,-86.4991
,Ardmore,Ardmore,AL,34.9847,-86.8373
,Argo,Argo,AL,33.6961,-86.5066
,Ariton,Ariton,AL,31.5978,-85.7131
,Arley,Arley,AL,34.0886,-87.2074
,Ashford,Ashford,AL,31.1858,-85.2359
,Ashland,Ashland,AL,33.2704,-85.8337
,Ashville,Ashville,AL,33.8331,-86.2698
,Athens,Athens,AL,34.7847,-86.951
,Atmore,Atmore,AL,31.0927,-87.4763
,Attalla,Attalla,AL,34.0049,-86.104
,Auburn,Auburn,AL,32.6087,-85.4899
,Autaugaville,Autaugaville,AL,32.432,-86.6579
,Avon,Avon,AL,31.1799,-85.2802
,Axis,Axis,AL,30.9296,-88.0179
,Babbie,Babbie,AL,31.3022,-86.3229
,Baileyton,Baileyton,AL,34.2609,-86.6082
,Bakerhill,Bakerhill,AL,31.7769,-85.2955
,Ballplay,Ballplay,AL,34.0179,-85.7853
,Banks,Banks,AL,31.8132,-85.8364
,Bay Minette,Bay Minette,AL,30.893,-87.7912
,Bayou La Batre,Bayou La Batre,AL,30.4126,-88.261
,Bear Creek,Bear Creek,AL,34.2651,-87.7164
,Beatrice,Beatrice,AL,31.7332,-87.209
,Beaverton,Beaverton,AL,33.9354,-88.0218
,Belgreen,Belgreen,AL,34.4767,-87.8653
,Belk,Belk,AL,33.6516,-87.9286
,Bellamy,Bellamy,AL,32.4582,-88.1277
,Belle Fontaine,Belle Fontaine,AL,30.492,-88.1131
,Benton,Benton,AL,32.3078,-86.818
,Berlin,Berlin,AL,34.1868,-86.7442
,Berry,Berry,AL,33.6623,-87.6079
,Bessemer,Bessemer,AL,33.3709,-86.9713
,Billingsley,Billingsley,AL,32.661,-86.7087
,Birmingham,Birmingham,AL,33.5277,-86.7987
,Black,Black,AL,31.0102,-85.7428
,Blountsville,Blountsville,AL,34.0814,-86.5867
,Blue Ridge,Blue Ridge,AL,32.501,-86.1839
,Blue Springs,Blue Springs,AL,31.6635,-85.5035
,Boaz,Boaz,AL,34.1985,-86.1529
,Boligee,Boligee,AL,32.7699,-88.0264
,Bon Air,Bon Air,AL,33.2621,-86.3319
,Bon Secour,Bon Secour,AL,30.3222,-87.7271
,Boykin,Boykin,AL,32.0701,-87.2914
,Brantley,Brantley,AL,31.5822,-86.2569
,Brantleyville,Brantleyville,AL,33.2196,-86.882
,Brent,Brent,AL,32.9421,-87.1753
,Brewton,Brewton,AL,31.1111,-87.0737
,Bridgeport,Bridgeport,AL,34.9495,-85.7243
,Brighton,Brighton,AL,33.4393,-86.9454
,Brilliant,Brilliant,AL,34.0256,-87.7691
,Bristow Cove,Bristow Cove,AL,34.1092,-86.241
,Brook Highland,Brook Highland,AL,33.4359,-86.6849
,Brookside,Brookside,AL,33.638,-86.9014
,Brookwood,Brookwood,AL,33.2397,-87.3277
,Broomtown,Broomtown,AL,34.3657,-85.5322
,Brundidge,Brundidge,AL,31.7182,-85.8177
,Bucks,Bucks,AL,31.017,-88.0249
,Butler,Butler,AL,32.0965,-88.2108
,Calera,Calera,AL,33.1249,-86.745
,Calvert,Calvert,AL,31.154,-88.0169
,Camden,Camden,AL,32.0007,-87.2967
,Camp Hill,Camp Hill,AL,32.8002,-85.6536
,Carbon Hill,Carbon Hill,AL,33.8944,-87.5224
,Cardiff,Cardiff,AL,33.6472,-86.9307
,Carlisle-Rockledge,Carlisle-Rockledge,AL,34.114,-86.1191
,Carlton,Carlton,AL,31.343,-87.8378
,Carolina,Carolina,AL,31.2337,-86.5227
,Carrollton,Carrollton,AL,33.2619,-88.0951
,Castleberry,Castleberry,AL,31.3001,-87.027
,Cedar Bluff,Cedar Bluff,AL,34.2217,-85.5877
,Center Point,Center Point,AL,33.6446,-86.6851
,Centre,Centre,AL,34.1551,-85.6699
,Centreville,Centreville,AL,32.9597,-87.1334
,Chatom,Chatom,AL,31.4691,-88.246
,Chelsea,Chelsea,AL,33.3255,-86.6299
,Cherokee,Cherokee,AL,34.7577,-87.967
,Chickasaw,Chickasaw,AL,30.7714,-88.0793
,Childersburg,Childersburg,AL,33.2961,-86.3457
,Choccolocco,Choccolocco,AL,33.6683,-85.7129
,Chunchula,Chunchula,AL,30.9237,-88.2072
,Citronelle,Citronelle,AL,31.0952,-88.2468
,Clanton,Clanton,AL,32.844,-86.623
,Clay,Clay,AL,33.6976,-86.607
,Clayhatchee,Clayhatchee,AL,31.2434,-85.7136
,Clayton,Clayton,AL,31.8822,-85.4604
,Cleveland,Cleveland,AL,33.9965,-86.5671
,Clio,Clio,AL,31.7085,-85.6109
,Coaling,Coaling,AL,33.1641,-87.3534
,Coats Bend,Coats Bend,AL,34.0774,-85.8742
,Coffee Springs,Coffee Springs,AL,31.1664,-85.9102
,Coffeeville,Coffeeville,AL,31.7666,-88.0861
,Coker,Coker,AL,33.2446,-87.6799
,Collinsville,Collinsville,AL,34.267,-85.8652
,Colony,Colony,AL,33.9413,-86.9016
,Columbia,Columbia,AL,31.2968,-85.1103
,Columbiana,Columbiana,AL,33.193,-86.6115
,Concord,Concord,AL,33.4674,-87.0392
,Coosada,Coosada,AL,32.4983,-86.3279
,Cordova,Cordova,AL,33.7613,-87.1925
,Cottondale,Cottondale,AL,33.1922,-87.4544
,Cottonwood,Cottonwood,AL,31.0552,-85.3007
,County Line,County Line,AL,33.821,-86.7198
,Courtland,Courtland,AL,34.6703,-87.3262
,Cowarts,Cowarts,AL,31.2041,-85.3062
,Creola,Creola,AL,30.8903,-88.01
,Crossville,Crossville,AL,34.2853,-85.9997
,Cuba,Cuba,AL,32.441,-88.3755
,Cullman,Cullman,AL,34.1777,-86.8407
,Cullomburg,Cullomburg,AL,31.7131,-88.2917
,Cusseta,Cusseta,AL,32.7877,-85.3057
,Dadeville,Dadeville,AL,32.8326,-85.7675
,Daleville,Daleville,AL,31.2915,-85.7117
,Daphne,Daphne,AL,30.6286,-87.8866
,Dauphin Island,Dauphin Island,AL,30.2525,-88.1438
,Daviston,Daviston,AL,33.0556,-85.6371
,Dayton,Dayton,AL,32.3509,-87.6416
,Deatsville,Deatsville,AL,32.5863,-86.3918
,Decatur,Decatur,AL,34.573,-86.9906
,Deer Park,Deer Park,AL,31.2198,-88.3226
,Delta,Delta,AL,33.447,-85.6746
,Demopolis,Demopolis,AL,32.498,-87.8298
,Detroit,Detroit,AL,34.0274,-88.1678
,Dodge City,Dodge City,AL,34.0453,-86.8837
,Dora,Dora,AL,33.7292,-87.085
,Dothan,Dothan,AL,31.2335,-85.4069
,Double Springs,Double Springs,AL,34.1502,-87.3912
,Douglas,Douglas,AL,34.1705,-86.3224
,Dozier,Dozier,AL,31.5031,-86.3694
,Dunnavant,Dunnavant,AL,33.5006,-86.538
,Dutton,Dutton,AL,34.6062,-85.9119
,East Brewton,East Brewton,AL,31.0906,-87.0556
,East Point,East Point,AL,34.1859,-86.7927
,Eclectic,Eclectic,AL,32.6387,-86.0386
,Edgewater,Edgewater,AL,33.5286,-86.9574
,Edwardsville,Edwardsville,AL,33.8411,-85.4523
,Egypt,Egypt,AL,34.0759,-86.1651
,Elba,Elba,AL,31.4172,-86.0759
,Elberta,Elberta,AL,30.3855,-87.5888
,Eldridge,Eldridge,AL,33.922,-87.6201
,Elkmont,Elkmont,AL,34.9289,-86.9765
,Elmore,Elmore,AL,32.5552,-86.3425
,Emelle,Emelle,AL,32.7287,-88.3165
,Emerald Mountain,Emerald Mountain,AL,32.4396,-86.0857
,Enterprise,Enterprise,AL,31.3276,-85.8459
,Epes,Epes,AL,32.6906,-88.1405
,Ethelsville,Ethelsville,AL,33.4141,-88.2161
,Eufaula,Eufaula,AL,31.9102,-85.1505
,Eunola,Eunola,AL,31.0326,-85.8409
,Eutaw,Eutaw,AL,32.8436,-87.8987
,Eva,Eva,AL,34.3274,-86.7614
,Evergreen,Evergreen,AL,31.4342,-86.9723
,Excel,Excel,AL,31.4264,-87.3433
,Fairfield,Fairfield,AL,33.4747,-86.9194
,Fairford,Fairford,AL,31.178,-88.0728
,Fairhope,Fairhope,AL,30.5217,-87.8815
,Fairview,Fairview,AL,34.2477,-86.6843
,Falkville,Falkville,AL,34.3793,-86.9086
,Faunsdale,Faunsdale,AL,32.4576,-87.5938
,Fayette,Fayette,AL,33.6943,-87.8307
,Fayetteville,Fayetteville,AL,33.1643,-86.4411
,Five Points,Five Points,AL,33.0173,-85.3516
,Flomaton,Flomaton,AL,31.0127,-87.2541
,Florala,Florala,AL,31.0176,-86.3138
,Florence,Florence,AL,34.8303,-87.6654
,Foley,Foley,AL,30.3983,-87.6649
,Forestdale,Forestdale,AL,33.5737,-86.9002
,Forkland,Forkland,AL,32.6489,-87.8671
,Fort Deposit,Fort Deposit,AL,31.9863,-86.5664
,Fort Payne,Fort Payne,AL,34.4557,-85.6965
,Fort Rucker,Fort Rucker,AL,31.3428,-85.7154
,Franklin,Franklin,AL,32.4514,-85.7864
,Fredonia,Fredonia,AL,32.9861,-85.2912
,Frisco City,Frisco City,AL,31.4353,-87.4037
,Fruitdale,Fruitdale,AL,31.3429,-88.4109
